factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.09899593130193643,0.0018811688982024065,0.0013456136699606794,0.09946262823644358,-0.46921838159928575
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.5011187081866575,0.0022378177832478416,0.0016007271877059297,0.4998778998778999,0.24822227769235095
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.0002672696613050155,0.00018078561271230468,0.00012931725164622604,0.0002442002442002442,9.446926304403853
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.9958576857138549,0.010742388681822344,0.007684108041603246,0.9999999999999885,-0.41423142861335893
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.49584677190343235,0.008310930881491424,0.005944868754166453,0.49999999999998856,-0.8306456193112622
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.1990448209186187,0.002081489295109293,0.001488904293523207,0.19999999999999774,-0.4775895406895268
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.09910494781099893,0.001602562131507965,0.0011463242419003773,0.09999999999999773,-0.8950521889988164
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.5000109138104223,0.002934215184348892,0.0020988652674616146,0.4999999999999999,0.0021827620844794286
0.5,5.0,10.0,0.5,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,2.2204460492503136e-16,0.0
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_sistema,3.020487701955462,0.10320182514962861,0.07382100927722772,3.0,0.6829233985153967
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_cola,2.2705093471162145,0.09864493475307409,0.07056143273629314,2.25,0.9115265384984244
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_sistema,0.40250664942878334,0.012458412653892753,0.0089115923557468,0.4,0.6266623571958285
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_cola,0.30255288253220947,0.012184731083326555,0.00871582595597159,0.3,0.8509608440698258
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,utilizacion_servidor,0.7499783548392545,0.005446175739584177,0.0038956887556431253,0.75,-0.002886021432739009
0.75,7.5,10.0,0.75,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,0.0,0.0
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.42901275092247193,0.0018843791771257826,0.0013479100056101839,0.42857142857142855,0.10297521524345599
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.0,0.0,0.0,0.0,0.0
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.10011393694553428,0.0006352324610871203,0.0004543863573645069,0.09999999999999999,0.11393694553428481
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.0,0.0,0.0,0.0,0.0
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.42901275092247193,0.0018843791771257826,0.0013479100056101839,0.4285714285714286,0.10297521524344302
0.75,7.5,10.0,0.75,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.42878463275475526,0.0015977008493246975,0.0011428469317207376,0.42857142857142855,0.049747642776232226
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,1.150625815037523,0.005357361431238026,0.003832159240822375,1.1485714285714286,0.17886449331668183
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.5155528409751311,0.0030359330334190373,0.0021716247779545728,0.5142857142857142,0.2463857451643903
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.18151823066399045,0.0007247529761413132,0.0005184210269329604,0.18108108108108106,0.2414109636962277
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.08133062633465418,0.00040082074532481047,0.0002867099677377619,0.08108108108108107,0.3077724794068366
